,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
445,809,36,22384,,14,0
446,,95,11740,2655,11,2
447,786,76,11925,2570,20,0
448,921,96,14810,,19,1
449,530,51,7439,4502,15,0
450,717,34,9697,,14,0
451,1370,49,5151,,16,1
452,1312,78,26427,4968,16,0
453,979,94,3088,,11,1
454,1283,62,10697,5147,15,0
455,953,65,17674,2718,14,0
456,244,97,5033,3539,13,0
457,196,91,13402,5468,14,2
458,303,84,13492,5813,18,0
459,1180,90,24442,,14,1
460,1092,64,2739,9667,14,0
461,261,66,10842,,22,1
462,589,67,19665,5154,22,2
463,1422,92,19246,5675,20,1
464,,64,14011,7314,21,3
465,1137,98,18991,,11,1
466,511,89,26997,,14,0
467,1396,83,14842,,13,1
468,1096,61,7102,,18,1
469,,42,19255,,12,1
470,1169,64,2125,,18,1
471,1239,39,22914,,18,1
472,157,95,20006,,13,0
473,954,44,5099,,14,0
474,754,63,21075,,11,0
475,1303,,18079,,20,3
476,697,40,26862,,20,1
477,1395,48,18698,5098,19,0
478,501,95,21653,,13,1
479,116,52,5340,,13,0
480,557,94,12695,,19,2
481,582,60,5640,13570,23,1
482,704,95,8978,6712,21,2
483,,100,5982,,11,1
484,613,42,21457,9991,15,1
485,419,53,21293,,11,0
486,477,42,2094,10248,14,1
487,1211,98,20445,,21,0
488,857,91,12888,,13,1
489,505,64,6420,10938,25,0
490,269,56,8007,2593,11,1
491,553,74,23364,11878,11,2
492,1296,62,18264,8095,13,0
493,1277,56,24619,,12,0
494,302,75,20364,,15,0
495,427,73,8861,,15,3
496,975,55,23398,,19,0
497,621,31,10084,16856,11,0
498,1318,66,5594,,14,1
499,249,35,17783,4537,22,1
500,881,98,4544,17924,11,1
501,1137,51,19170,4014,25,1
502,466,65,7060,12742,16,1
503,945,82,5083,,13,0
504,509,43,18863,3376,13,0
505,1376,91,2326,10482,14,1
506,469,35,14399,,17,1
507,994,87,15322,,19,0
508,433,37,6004,,13,1
509,991,44,22957,,12,0
510,482,87,2690,4249,11,0
511,1083,96,3173,6549,14,2
512,136,32,22074,,13,1
513,333,88,24450,14411,13,0
514,685,60,23037,19586,21,1
515,1462,38,4658,8237,11,1
516,722,84,22102,3211,14,1
517,,48,17119,16704,11,0
518,1277,74,5596,,12,1
519,1131,77,23844,4774,19,1
520,300,56,17312,,11,0
521,1023,63,13243,,14,0
522,153,49,12682,,12,0
523,1065,72,10034,4568,20,0
524,1115,51,2689,5993,18,1
525,1195,95,22656,6499,13,0
526,1316,83,9752,3452,13,0
527,665,60,22673,,19,0
528,1479,84,26767,6397,20,1
529,304,92,20750,,16,0
530,1368,,4386,,11,3
531,828,77,8346,,13,0
532,799,59,23848,,17,0
533,142,69,24666,,13,1
534,446,65,15701,,12,1
535,691,89,21630,2725,11,2
536,1246,99,7999,,11,1
537,254,83,22794,3622,13,1
538,1410,71,16673,,20,2
539,883,32,22807,6180,23,0
540,304,60,18686,6274,22,0
541,121,86,7530,4381,11,0
542,950,59,18869,,21,0
543,1343,53,17852,2559,11,0
544,827,84,20161,5488,13,1
545,1107,93,26968,2514,22,1
546,490,61,17940,,14,2
547,1400,70,5829,,20,0
548,1179,78,12449,3196,12,3
549,1117,72,19982,,13,1
550,1332,80,17089,,12,0
551,583,53,9973,,20,0
552,465,74,10205,3420,12,1
553,1413,84,25470,,14,0
554,1200,,25174,4087,14,1
555,977,45,25518,,13,2
556,530,36,16130,5368,25,1
557,1093,82,24164,12936,11,0
558,1102,94,19479,,11,0
559,809,84,16479,,13,1
560,1328,76,4956,,23,1
561,548,66,7346,,17,2
562,1214,30,26278,,18,0
563,,,21698,,11,0
564,120,43,8863,4221,15,0
565,240,46,26959,,11,0
566,441,72,4510,4963,18,3
567,841,46,23300,,19,0
568,1033,41,10224,4200,22,0
569,,75,23910,,14,0
570,1452,53,17053,,15,0
571,120,43,12430,,20,0
572,1268,30,6319,5006,11,1
573,,37,5228,,14,3
574,121,35,24525,7639,22,3
575,,90,4381,,12,1
576,813,58,22149,,13,1
577,307,71,11652,,11,0
578,228,,22825,6502,14,1
579,797,96,15815,,14,2
580,555,77,14864,13525,14,1
581,1377,74,5242,,11,0
582,210,73,22107,6349,13,1
583,483,,10110,,15,0
584,921,98,17663,,20,1
585,575,68,6110,6380,12,2
586,1311,97,23258,,13,0
587,575,73,6582,3102,22,0
588,759,46,22553,,12,2
589,891,99,12090,,11,0
590,1082,83,19558,,11,0
591,319,,19609,,14,0
592,532,92,12932,4556,11,1
593,317,43,24793,,20,0
594,144,46,19225,4230,15,0
595,688,44,25291,,21,1
596,195,80,6698,4859,16,0
597,622,40,26376,,11,0
598,646,92,18089,6322,12,1
599,719,77,10339,,12,0
600,1012,,2373,,12,1
601,930,74,19239,10761,12,1
602,1278,77,8635,,21,0
603,1222,48,14871,,19,1
604,1231,54,21222,2973,15,1
605,1383,42,7790,5204,11,2
606,462,68,7824,,17,0
607,231,62,9977,,11,1
608,,66,6615,17399,22,1
609,1089,66,11038,,14,1
610,1082,41,8392,,11,1
611,1240,63,12154,,19,1
612,1262,35,16154,16885,22,0
613,439,70,8770,,15,0
614,528,100,7108,4323,17,0
615,647,45,2253,5155,13,0
616,1097,96,10826,2936,11,0
617,942,69,26933,,18,1
618,147,99,8429,,13,1
619,966,53,9659,,17,1
620,168,33,9946,18789,14,1
621,,72,12858,,18,0
622,1089,79,22845,4883,18,1
623,299,57,17235,,12,0
624,999,92,15891,2029,20,3
625,1498,44,3567,,12,2
626,1439,54,5182,2996,15,0
627,1111,61,19293,,13,0
628,1485,71,3449,,21,1
629,258,54,17363,,13,0
630,1174,99,20763,9278,16,0
631,172,,22604,,16,0
632,,42,15211,4162,12,2
633,401,86,3708,,17,1
634,866,,23490,,18,0
635,1099,82,8192,,11,0
636,571,,24200,,17,1
637,676,86,21831,,14,0
638,950,97,4585,,20,1
639,1342,47,19345,,12,0
640,995,87,24483,8853,19,1
641,118,84,11262,,15,1
642,990,87,5855,4876,12,1
643,241,48,5348,2141,12,1
644,,54,14199,7756,19,1
645,1470,71,9953,3936,11,1
646,492,66,7693,,21,0
647,1040,79,26308,6842,20,1
648,1320,93,20586,3989,11,0
649,146,79,13970,4930,14,0
650,163,30,6670,,20,0
651,1153,40,16376,3702,11,1
652,185,91,9696,2705,16,1
653,750,47,10748,4448,12,1
654,1297,,19826,2379,14,0
655,337,54,26841,,21,1
656,217,43,10410,5487,14,0
657,1064,42,13738,,15,0
658,1351,66,9238,2810,22,0
659,930,57,12227,8938,11,1
660,468,73,8489,,14,0
661,,74,3787,9936,19,0
662,1218,82,6986,,23,0
663,1273,72,21923,,12,2
664,1141,42,3193,,19,2
665,1488,75,4009,5454,21,1
666,653,50,5456,,11,0
667,989,43,16701,18740,12,1
668,1225,57,24668,5473,11,0
669,530,78,14115,13503,22,1
670,1217,60,24001,13549,12,1
671,,73,9755,18172,19,0
672,142,,13871,,12,0
673,1127,52,13257,2774,12,1
674,1189,87,14506,,12,0
675,1427,35,11162,,13,0
676,303,75,11314,,18,1
677,334,83,23402,9439,16,1
678,702,,12930,,22,0
679,,70,21728,,22,0
680,926,36,16439,5265,16,1
681,878,43,5972,3815,17,1
682,334,52,22967,,15,0
683,896,86,14961,2389,13,0
684,1401,56,20990,,11,1
685,675,85,18384,4000,12,2
686,1070,45,21016,17584,16,3
687,496,60,22722,,13,1
688,1117,66,4488,,21,0
689,1476,68,4824,5661,19,0
690,390,32,17056,,13,1
691,1220,85,20938,,12,0
692,928,31,16885,4869,12,0
693,1124,57,13273,,22,3
694,746,61,16928,4649,14,1
695,1046,100,2755,10496,15,0
696,1448,62,21972,,16,0
697,1400,53,16734,,15,1
698,1303,62,8416,2768,12,1
699,587,38,6705,3408,13,3
700,635,32,15318,,14,0
701,267,,13430,,14,0
702,443,48,17872,3755,11,1
703,703,66,7428,,20,2
704,1287,55,14168,,16,1
705,798,66,5013,2187,12,2
706,1420,85,16346,,11,1
707,562,50,23452,,14,1
708,650,37,4344,,14,1
709,141,44,18767,,15,1
710,715,41,26589,4258,18,1
711,,,3064,5326,17,0
712,376,,22670,5485,11,2
713,571,82,19905,2782,13,2
714,691,64,6881,17639,16,0
715,932,43,4051,6062,13,1
716,471,45,4284,6288,15,1
717,180,65,21632,3424,13,0
718,638,91,22162,,12,1
719,141,98,14363,4194,18,0
720,1265,95,23726,,13,1
721,1075,57,22650,,11,1
722,1086,62,6054,2532,14,3
723,152,85,19899,5666,13,0
724,974,91,11005,,14,2
725,853,,11275,,12,1
726,217,94,6881,,15,1
727,715,69,21829,13726,13,0
728,1234,90,5404,,13,1
729,788,36,8318,,16,0
730,124,35,13848,4107,15,0
731,921,66,25265,,13,2
732,192,59,11141,,16,2
733,,67,19911,,17,0
734,477,49,6409,3597,22,0
735,852,72,2706,,18,1
736,1372,85,9489,,13,0
737,1329,61,13192,4115,19,3
738,150,60,17433,,11,1
739,,79,12858,6272,16,1
740,,57,20623,,14,0
741,1167,76,3208,2517,11,3
742,206,99,4022,,14,0
743,,66,4297,,17,1
744,736,48,24232,,11,1
745,322,59,9731,,11,1
746,683,36,4050,3904,12,0
747,1475,97,22710,,20,0
748,560,91,20284,,14,2
749,,97,23343,9204,12,1
750,,54,17456,4373,14,2
751,115,51,17485,,11,0
752,,46,15428,2064,21,1
753,507,97,24812,,14,0
754,575,44,24152,,13,0
755,,98,26204,2430,23,2
756,888,71,14814,,11,0
757,580,39,20460,4877,21,1
758,671,85,26493,,17,3
759,567,32,17218,3760,13,0
760,311,77,10950,2013,11,0
761,148,42,23826,,22,0
762,1395,48,3458,,15,0
763,1278,31,7677,,14,2
764,581,62,17616,,16,1
765,1082,43,25412,2974,17,1
766,371,80,3840,,13,1
767,855,57,8952,2766,22,3
768,548,94,20520,,20,2
769,429,99,11092,,12,3
770,1181,82,5531,,11,1
771,1253,65,7914,,21,0
772,616,99,25605,3377,17,1
773,370,58,4992,4213,15,0
774,1194,52,9060,6513,17,1
775,572,46,9125,,13,0
776,355,38,6161,,22,2
777,1480,64,24444,,13,3
778,783,78,13588,4284,22,1
779,1354,41,6073,2226,11,1
780,682,71,15975,5561,16,1
781,1103,49,2122,2144,14,0
782,136,89,6225,5373,12,1
783,155,67,22474,2897,11,2
784,771,45,14120,,12,0
785,508,72,14284,5321,11,1
786,557,35,11189,5410,17,1
787,642,76,21412,2782,22,1
788,1382,85,13684,,22,1
789,1037,42,13422,,12,0
790,878,94,14255,,12,2
791,1120,100,14369,,13,1
792,374,50,23333,4850,15,0
793,1194,98,12549,2001,14,3
794,287,62,8952,,12,1
795,,46,23679,,13,1
796,,82,10228,4404,12,0
797,591,40,16632,,12,1
798,670,,15170,,17,1
799,1346,93,8758,,11,1
800,103,50,12947,,14,0
801,334,80,15053,,12,2
802,371,45,4306,3944,11,0
803,673,96,8232,,18,1
804,699,83,17102,2960,11,0
805,,72,4681,,22,0
806,705,83,22822,18947,12,0
807,1459,41,19121,6465,13,0
808,,86,3810,2683,14,0
809,890,97,9687,2014,13,0
810,1434,50,11179,3441,13,0
811,1443,47,21436,,19,1
812,1142,30,16002,,15,1
813,664,79,5868,,13,1
814,397,30,25258,13664,13,0
815,,80,10425,5021,22,1
816,1153,94,17736,,15,0
817,432,96,18725,,23,2
818,1353,33,17519,,21,1
819,489,,25043,,12,1
820,807,63,23648,,22,0
821,1420,32,21922,18844,21,1
822,1280,,26897,,11,2
823,957,72,16090,4739,12,0
824,809,77,6645,,11,0
825,542,71,24788,,11,1
826,216,84,2819,,20,2
827,1150,53,25150,10650,15,0
828,,41,24835,,18,0
829,364,32,2302,4317,20,0
830,201,84,10415,,14,1
831,1256,80,11992,,24,2
832,691,57,5970,2024,18,1
833,440,42,6672,,11,1
834,1157,51,13364,3058,16,1
835,713,67,13939,,18,1
836,,75,6319,,12,0
837,140,95,6984,3929,23,1
838,629,95,5711,,15,0
839,328,86,3425,,15,1
840,1084,,26250,,11,2
841,,37,15986,4425,11,0
842,472,60,9679,,19,1
843,905,99,16523,,15,1
844,1136,60,12392,2328,16,1
845,1151,63,14242,,14,1
846,644,,12368,,16,1
847,1005,88,8556,2657,11,0
848,992,85,19757,,14,0
849,1147,52,17011,5940,14,1
850,147,47,13248,2622,21,0
851,1323,89,3300,3212,15,0
852,818,,25657,,17,0
853,515,62,9571,,14,0
854,1431,96,15417,,14,3
855,976,100,12069,,18,0
856,1327,73,13523,,12,1
857,832,63,14776,2911,13,1
858,1199,77,5118,,17,1
859,916,82,23016,,13,0
860,1247,45,10732,6931,14,1
861,685,62,7505,,12,2
862,128,84,19737,2176,13,0
863,1158,94,2613,,23,1
864,996,100,10531,3230,17,0
865,728,80,11677,,18,2
866,688,82,18899,,14,1
867,1449,45,14180,,13,1
868,636,,25594,18665,11,0
869,444,84,3909,2789,11,1
870,889,53,11411,,12,3
871,691,86,10077,,12,1
872,106,62,17822,6410,12,0
873,,32,7747,,18,1
874,723,85,17747,4941,15,0
875,1157,84,24737,,13,0
876,1482,42,16375,,11,1
877,738,30,7621,3983,17,0
878,1192,61,23177,6347,16,2
879,1309,83,16092,2904,12,2
880,544,52,24017,2696,11,1
881,641,85,6069,,12,1
882,756,99,9150,2174,11,0
883,593,88,2967,6755,11,0
884,895,39,2851,,24,0
885,408,42,7551,2657,16,0
886,1283,54,18168,,16,0
887,1469,82,17881,,11,1
888,1261,31,12066,10965,24,0
889,329,96,11868,2543,13,1
890,1362,67,4652,5304,13,0
891,1371,77,5915,,12,1
892,201,,20490,,16,1
893,821,86,8509,19406,11,1
894,1381,72,12740,6538,15,1
895,313,61,15238,2258,20,1
896,1473,74,2227,,14,0
897,329,98,16193,2218,12,1
898,688,91,9396,,13,1
899,192,69,9655,2654,21,2
900,1490,,10310,,13,0
901,296,33,12253,,16,1
902,1349,90,3032,,22,2
903,986,93,21526,11935,18,0
904,408,71,18300,2546,16,0
905,1009,51,2288,17861,13,0
906,1125,94,11563,,19,1
907,413,57,18398,,14,0
908,988,43,11533,,15,3
909,1474,97,9260,,17,1
910,1368,99,9129,3894,16,0
911,232,34,22645,4262,12,2
912,1034,86,8984,10527,11,0
913,1474,,23914,,12,0
914,,38,5530,2400,13,2
915,538,54,14004,3681,14,0
916,622,81,5718,,13,2
917,1236,40,17997,,11,1
918,1112,50,26894,,11,0
