,EmployeeID,Age,Gender,MaritalStatus,NumberChildren,DateBirth,Over18,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,OverTime,DistanceFromHome,RemoteWork,BusinessTravel,TrainingTimesLastYear,Department,JobRole,JobLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,Salary,StandardHours
37,373,36,Male,Married,,1987,,3,Life Sciences,0,"16,0",15,,10,11,1,4,3,3.0,3,3.0,No,,6,1,,4, Research & Development , laboratory technician ,1,1403.0,47.0,20251.0,3210.0,11,1,1000000000,
38,nan16,60,Female,Married,,1963,Y,3,,4,"22,0",18,13.0,13,11,1,1,4,4.0,2,3.0,No,No,28,1,travel_frequently,5,, sales executive ,3,1499.0,80.0,2845.0,10266.0,19,0,1000000000,
39,729,40,Male,Married,,1983,,4,,5,"20,0",18,,1,12,1,1,3,3.0,2,4.0,No,Yes,5,0,travel_frequently,2,, sales executive ,3,580.0,48.0,23772.0,10475.0,21,1,1000000000,80.0
40,830,32,Female,Married,,1991,Y,3,,1,"14,0",14,,6,8,1,3,3,3.0,2,3.0,No,No,4,0,travel_rarely,3,, manufacturing director ,2,859.0,98.0,19124.0,6162.0,12,1,1000000000,80.0
41,nan17,41,Male,Single,,1982,,3,,2,"20,0",18,,2,17,3,1,3,3.0,3,,No,Yes,35,1,travel_rarely,3,, laboratory technician ,1,263.0,59.0,3119.0,4721.0,13,0,1000000000,
42,981,53,Male,Divorced,,1970,,2,Medical,6,"22,0",17,,15,2,1,3,3,4.0,3,3.0,No,No,2,0,,3,, manager ,4,1376.0,,13938.0,,13,1,1000000000,
43,1042,36,Female,Single,,1987,Y,4,,1,"18,0",17,,15,14,1,1,3,3.0,4,3.0,Yes,,16,1,travel_rarely,1,, laboratory technician ,1,885.0,43.0,8269.0,,16,0,1000000000,80.0
44,1080,46,Female,Divorced,,1977,,4,Life Sciences,8,,16,,1,7,1,1,1,3.0,2,4.0,No,Yes,8,0,,2,, research scientist ,2,1003.0,74.0,21029.0,4615.0,23,3,1000000000,
45,1995,38,Male,Married,,1985,,4,,0,"16,0",15,,5,8,1,2,1,,3,3.0,No,No,1,1,travel_rarely,3,, sales executive ,2,1321.0,86.0,7636.0,,15,2,1000000000,
46,145,51,Female,Single,,1972,,4,,3,"23,0",13,,12,8,1,1,3,2.0,2,4.0,No,,1,1,,1,, healthcare representative ,3,,30.0,25796.0,,20,0,1000000000,
47,158,43,Male,Married,,1980,,2,,1,"25,0",25,,4,12,1,4,4,4.0,3,3.0,No,Yes,26,1,,3,, manager ,4,394.0,92.0,19494.0,16959.0,12,2,1000000000,80.0
48,391,37,Female,Single,,1986,,3,Life Sciences,1,,17,,5,7,1,4,2,3.0,3,3.0,No,No,1,1,,3,, research scientist ,1,1372.0,42.0,15881.0,,12,0,1000000000,80.0
49,436,32,Female,Married,,1991,,2,Technical Degree,1,,13,12.0,11,9,1,2,4,3.0,2,3.0,No,Yes,8,1,travel_rarely,2,, sales executive ,2,,65.0,24624.0,,11,0,1000000000,80.0
50,nan18,38,Female,Married,,1985,,3,,1,"15,0",15,,5,11,1,1,2,3.0,3,3.0,No,,1,0,,3,, research director ,3,1333.0,80.0,16292.0,,13,1,1000000000,
51,1527,46,Female,,,1977,,3,Life Sciences,8,"23,0",13,,5,1,1,2,4,4.0,3,3.0,No,No,3,1,,2,, manager ,4,228.0,51.0,11380.0,,12,1,1000000000,80.0
52,nan19,35,Male,Married,,1988,,3,Medical,9,"15,0",13,,6,0,1,1,3,,2,3.0,Yes,,10,0,travel_rarely,3,, sales executive ,3,737.0,55.0,21530.0,10306.0,17,0,1000000000,
53,1866,43,Female,Married,,1980,,3,Medical,7,"21,0",16,,6,14,1,3,4,3.0,2,3.0,No,No,6,1,,2,, manager ,5,823.0,81.0,22539.0,,13,0,1000000000,
54,2026,56,Male,Divorced,,1967,Y,4,Life Sciences,1,,13,,1,9,1,3,1,2.0,3,,No,No,1,1,non-travel,2,, healthcare representative ,2,667.0,57.0,26236.0,,21,1,1000000000,
55,nan20,36,Male,Divorced,,1987,Y,4,Marketing,1,,15,,11,11,1,4,1,2.0,1,4.0,No,No,15,1,non-travel,4,, sales executive ,2,301.0,88.0,10436.0,5406.0,24,1,1000000000,80.0
56,107,38,Female,,,1985,Y,3,Medical,7,"17,0",13,,1,9,1,4,4,3.0,1,3.0,No,,6,1,,3,, research scientist ,2,573.0,79.0,15717.0,,12,3,1000000000,
57,170,49,Female,,,1974,,4,Medical,1,"16,0",15,,5,11,1,1,3,2.0,3,3.0,No,No,26,0,,2,, manufacturing director ,2,,96.0,5549.0,,14,0,1000000000,
58,nan21,39,Female,Married,,1984,,4,Life Sciences,4,"17,0",15,,5,9,1,3,3,4.0,2,3.0,No,,4,1,travel_rarely,1,, sales executive ,2,1329.0,47.0,14590.0,5902.0,14,1,1000000000,80.0
59,215,40,Male,Married,,1983,Y,4,,7,"15,0",12,,2,11,1,4,1,2.0,2,,No,No,4,1,,2,, sales executive ,3,630.0,67.0,8552.0,10855.0,11,1,1000000000,
60,304,36,Male,Single,,1987,Y,2,,8,"16,0",13,,3,7,1,2,4,4.0,3,3.0,No,No,5,1,,3,, laboratory technician ,2,,62.0,9945.0,5914.0,16,0,1000000000,80.0
61,529,37,Female,Married,,1986,Y,5,,3,"15,0",13,,10,7,1,3,1,3.0,3,3.0,No,Yes,25,0,,2,, research scientist ,2,1063.0,72.0,23866.0,,15,2,1000000000,80.0
62,691,35,Male,,,1988,Y,4,,1,,17,,11,8,1,4,2,3.0,1,3.0,No,,6,1,,3,, research scientist ,2,1017.0,82.0,19368.0,6646.0,13,0,1000000000,
63,692,33,Male,Divorced,,1990,,3,Life Sciences,3,"15,0",13,,4,7,1,4,3,1.0,3,4.0,No,No,6,0,travel_frequently,2,, healthcare representative ,2,1296.0,,5335.0,,23,1,1000000000,
64,1005,50,Male,Married,,1973,,3,,3,"22,0",12,,1,5,1,3,4,3.0,3,3.0,No,Yes,24,0,travel_rarely,2, Research & Development , manufacturing director ,4,939.0,,4161.0,13973.0,18,1,1000000000,
65,1024,48,Male,Single,,1975,,4,,7,"27,0",15,11.0,4,8,1,3,2,3.0,2,,No,,4,1,travel_rarely,3,, healthcare representative ,3,1355.0,78.0,22245.0,,14,0,1000000000,80.0
66,1039,44,Female,Married,,1979,,3,,3,,12,,11,11,1,4,3,3.0,4,3.0,No,,28,1,travel_rarely,2, Sales , sales executive ,4,1448.0,53.0,11737.0,13320.0,18,1,1000000000,80.0
67,1225,44,Male,Single,,1979,Y,4,,1,,20,,13,17,1,4,2,3.0,3,4.0,No,,29,1,travel_rarely,3,, research scientist ,2,200.0,32.0,7744.0,,25,0,1000000000,
68,1375,40,Female,,,1983,,1,,5,"15,0",12,,11,8,2,3,2,3.0,4,4.0,No,No,25,1,,0,, healthcare representative ,2,1202.0,89.0,13888.0,,20,3,1000000000,
69,nan22,34,Female,Single,,1989,,4,,1,"14,0",14,,4,11,1,4,4,4.0,3,3.0,No,,2,1,travel_rarely,2,, healthcare representative ,2,404.0,98.0,6163.0,6687.0,11,0,1000000000,80.0
70,nan23,35,Female,,,1988,,4,,1,,14,,2,9,1,3,4,3.0,3,3.0,No,,8,1,non-travel,5, Research & Development , healthcare representative ,2,208.0,52.0,12250.0,,12,1,1000000000,80.0
71,nan24,50,Female,,,1973,,5,Life Sciences,5,,14,11.0,1,11,1,1,3,3.0,2,3.0,No,No,17,0,,3,, research director ,3,813.0,50.0,21981.0,,15,3,1000000000,
72,1661,49,Female,,,1974,,1,Life Sciences,2,,15,,2,12,1,3,2,3.0,2,3.0,No,,6,1,,3,, healthcare representative ,4,465.0,41.0,11652.0,,19,1,1000000000,80.0
73,1668,38,Male,,,1985,Y,3,Life Sciences,7,"19,0",13,,2,9,1,4,4,,3,3.0,No,No,1,1,travel_frequently,4,, research scientist ,2,1189.0,90.0,9867.0,4735.0,15,2,1000000000,80.0
74,1698,33,Male,,,1990,,3,,1,"14,0",14,,2,13,1,2,4,,4,3.0,No,No,21,1,,6,, laboratory technician ,1,,79.0,13637.0,,18,3,1000000000,
75,nan25,47,Female,Divorced,,1976,,3,Life Sciences,8,,22,,14,10,1,2,3,3.0,2,,No,Yes,4,1,travel_rarely,4,, manufacturing director ,3,1001.0,92.0,19271.0,,12,1,1000000000,
76,1937,38,Female,Divorced,,1985,,3,,1,"20,0",20,,0,7,1,2,3,3.0,2,3.0,No,,8,0,,3, Research & Development , research scientist ,2,1394.0,58.0,18115.0,,16,1,1000000000,
77,2017,37,Female,,,1986,,3,Life Sciences,1,"16,0",16,,6,8,1,4,1,3.0,4,4.0,No,Yes,10,1,travel_rarely,2,, research director ,3,161.0,42.0,15471.0,,25,1,1000000000,
78,117,30,Male,Married,,1993,,3,,1,"11,0",11,,10,8,1,4,1,3.0,2,,No,No,2,1,,3,, healthcare representative ,2,288.0,99.0,15830.0,,19,3,1000000000,80.0
79,131,58,Male,Single,,1965,,4,,0,"38,0",37,,1,8,1,3,3,2.0,3,3.0,No,,18,1,travel_rarely,1,, sales executive ,4,682.0,37.0,24409.0,13872.0,13,0,1000000000,
80,153,34,Female,Single,,1989,,3,,2,"14,0",11,,5,8,1,1,4,3.0,2,3.0,No,,5,0,travel_rarely,6,, manager ,3,1354.0,45.0,5615.0,,12,0,1000000000,80.0
81,nan26,58,Female,Married,,1965,,4,Medical,1,"40,0",40,,15,6,1,4,4,2.0,3,3.0,Yes,,23,1,travel_rarely,3,, healthcare representative ,3,147.0,94.0,3465.0,,12,1,1000000000,
82,307,38,Male,Divorced,,1985,Y,3,Life Sciences,0,,16,,5,13,1,3,3,2.0,3,3.0,No,,3,1,,6,, sales executive ,3,119.0,76.0,9647.0,,12,2,1000000000,
83,nan27,29,Female,Married,,1994,Y,1,,1,"11,0",11,,4,1,1,4,4,3.0,3,3.0,No,,1,1,travel_frequently,5,, sales executive ,3,1413.0,42.0,6599.0,,14,1,1000000000,
84,374,55,Male,Single,,1968,Y,3,Medical,0,"37,0",36,,4,13,1,1,3,3.0,3,3.0,No,,1,1,travel_rarely,2,, manager ,5,452.0,81.0,18938.0,19045.0,14,0,1000000000,
85,nan28,41,Male,,,1982,,4,,1,,22,,0,4,1,2,2,3.0,3,3.0,No,,10,1,,2,, manager ,4,334.0,88.0,15896.0,16015.0,19,0,1000000000,
86,nan29,39,Male,,,1984,,3,,0,"19,0",18,,3,7,1,4,1,2.0,4,,No,No,1,0,travel_rarely,5, Research & Development , healthcare representative ,3,1132.0,48.0,10942.0,9613.0,17,3,1000000000,80.0
87,nan30,38,Male,,,1985,,2,Life Sciences,0,,11,,2,9,1,4,2,3.0,2,3.0,No,,15,1,,3,, research director ,3,,92.0,15682.0,11510.0,14,1,1000000000,
88,nan31,43,Male,,,1980,,3,,1,,25,,3,9,1,2,3,,2,3.0,No,No,12,1,,3,, research director ,4,982.0,59.0,4345.0,,11,1,1000000000,80.0
89,524,31,Female,Married,,1992,,2,,1,"13,0",13,,3,12,1,1,2,1.0,3,3.0,No,No,30,1,,5,, manufacturing director ,2,480.0,31.0,4156.0,4306.0,12,1,1000000000,80.0
90,569,50,Male,Married,,1973,Y,4,Life Sciences,0,"28,0",27,,15,7,3,3,2,3.0,2,3.0,No,No,27,1,travel_rarely,2, Research & Development , manager ,4,1099.0,88.0,9314.0,17046.0,15,1,1000000000,
91,899,35,Male,Married,,1988,Y,3,Technical Degree,3,,13,,4,8,1,2,1,3.0,2,,No,No,25,0,,2,, manufacturing director ,3,672.0,78.0,9129.0,,16,0,1000000000,
92,nan32,47,Male,,,1976,,4,,1,"20,0",19,,2,7,1,3,3,,4,3.0,No,Yes,16,1,,3,, manufacturing director ,2,1379.0,64.0,6759.0,5067.0,19,0,1000000000,
93,1014,35,Female,Divorced,,1988,,4,,1,,16,,10,1,1,3,3,2.0,3,,No,Yes,25,1,,3, Research & Development , healthcare representative ,3,583.0,57.0,6975.0,,11,1,1000000000,
94,nan33,40,Male,Married,,1983,Y,4,,4,"14,0",11,,11,1,1,4,4,3.0,3,4.0,No,,20,1,travel_rarely,6,, healthcare representative ,3,1492.0,61.0,26542.0,,20,1,1000000000,
95,1117,45,Female,Married,,1978,Y,4,Life Sciences,1,"15,0",15,,4,12,1,3,4,3.0,2,3.0,No,,9,0,,2, Sales , sales executive ,2,1050.0,65.0,17970.0,,13,1,1000000000,80.0
96,1238,33,Male,Married,,1990,Y,3,Medical,0,"15,0",14,,4,10,1,4,2,3.0,3,3.0,No,,9,0,,5, Research & Development , research scientist ,1,117.0,60.0,6311.0,,13,1,1000000000,
97,nan34,36,Male,Married,,1987,Y,3,,1,"12,0",11,,0,7,1,2,3,2.0,3,3.0,No,No,3,0,travel_frequently,2,, research scientist ,1,469.0,46.0,9256.0,3692.0,12,0,1000000000,
98,1277,45,Female,,,1978,,3,Marketing,2,"26,0",24,,1,11,1,2,1,3.0,1,3.0,Yes,Yes,13,1,,2,, manager ,5,,94.0,2493.0,,16,0,1000000000,
99,nan35,51,Male,,,1972,,3,,4,,29,,11,10,3,2,1,2.0,3,,No,Yes,27,0,travel_frequently,5,, manager ,5,237.0,83.0,19196.0,19847.0,24,1,1000000000,
100,1541,34,Male,,,1989,,2,Technical Degree,0,"12,0",11,,5,7,1,3,2,3.0,3,4.0,No,Yes,7,0,travel_rarely,4,, sales representative ,1,1440.0,55.0,4944.0,2308.0,25,1,1000000000,
101,1666,43,Male,,,1980,,2,,1,,14,,6,11,1,3,1,3.0,2,4.0,No,No,15,1,travel_rarely,3, Research & Development , research director ,4,1291.0,65.0,3525.0,,24,1,1000000000,
102,1696,34,Male,,,1989,Y,2,Medical,1,,15,,4,13,1,4,3,,2,3.0,No,No,5,0,,3,, laboratory technician ,2,1157.0,57.0,11912.0,,14,1,1000000000,
103,1805,38,Male,Divorced,,1985,,3,,5,"13,0",11,,3,8,1,2,4,3.0,3,3.0,No,No,2,1,,3,, human resources ,1,1336.0,100.0,7129.0,,13,3,1000000000,
104,nan36,48,Male,,,1975,Y,3,,4,"29,0",22,,12,9,1,2,4,3.0,2,3.0,No,No,10,0,,3,, research director ,5,1224.0,91.0,13583.0,,12,0,1000000000,
105,1932,34,Male,Married,,1989,,4,Other,1,"16,0",15,,6,11,1,4,2,3.0,2,3.0,No,Yes,22,0,,3, Research & Development , research scientist ,2,735.0,86.0,26496.0,5747.0,15,0,1000000000,
106,2016,32,Female,,,1991,Y,4,,1,"14,0",14,,5,7,3,4,3,3.0,3,3.0,No,No,31,1,travel_rarely,3,, sales executive ,3,,48.0,24032.0,10422.0,19,2,1000000000,
107,20,29,Female,Divorced,,1994,Y,4,Life Sciences,1,"10,0",10,,8,8,1,1,3,3.0,4,3.0,No,No,21,0,travel_rarely,1,, manufacturing director ,3,1389.0,51.0,10195.0,,11,1,1000000000,
108,nan37,46,Male,Married,,1977,,3,Medical,2,"21,0",10,,9,5,1,1,3,2.0,2,3.0,No,Yes,1,0,,5,, healthcare representative ,3,638.0,40.0,3142.0,,13,1,1000000000,
109,184,30,Male,Married,,1993,,3,,0,,11,,4,7,1,4,4,1.0,3,3.0,No,Yes,9,0,,2, Human Resources , human resources ,2,1240.0,48.0,13982.0,6347.0,19,0,1000000000,80.0
110,206,45,Male,,,1978,Y,3,Life Sciences,8,"20,0",17,,0,15,1,2,3,,3,3.0,No,No,9,1,,2,, laboratory technician ,2,194.0,60.0,10901.0,2348.0,18,1,1000000000,
111,228,30,Female,,,1993,Y,3,,2,,10,,7,4,1,4,3,3.0,3,3.0,No,No,5,1,travel_rarely,2,, sales executive ,3,1339.0,41.0,8053.0,,12,1,1000000000,
112,239,30,Male,,,1993,Y,3,,1,"12,0",12,,6,10,1,1,3,3.0,3,,No,No,9,1,,4,, laboratory technician ,2,111.0,66.0,11012.0,3072.0,11,2,1000000000,80.0
113,256,34,Male,Married,,1989,,1,,1,"10,0",10,,1,9,1,3,3,2.0,2,3.0,No,,29,0,travel_frequently,2,, manufacturing director ,2,,45.0,14074.0,,17,0,1000000000,
114,nan38,51,Male,Married,,1972,,4,Life Sciences,5,"16,0",10,,4,7,1,2,4,1.0,2,3.0,No,No,8,0,travel_rarely,5,, research director ,3,1469.0,81.0,15736.0,12490.0,16,2,1000000000,
115,339,34,Male,,,1989,,4,Life Sciences,6,"13,0",11,,5,9,4,1,2,3.0,2,3.0,No,,39,1,,3,, manufacturing director ,2,470.0,84.0,23687.0,,13,1,1000000000,
116,406,35,Male,Married,,1988,Y,3,,0,"12,0",11,,6,9,1,2,3,2.0,3,3.0,No,,16,1,travel_rarely,3,, sales executive ,3,1232.0,96.0,5100.0,8020.0,15,2,1000000000,
117,nan39,45,Male,,,1978,Y,3,Life Sciences,1,"24,0",24,,9,11,1,1,1,3.0,3,3.0,No,,7,1,travel_frequently,2,, laboratory technician ,3,1249.0,97.0,20308.0,,18,1,1000000000,
118,429,39,Male,Married,,1984,,1,,1,"21,0",21,,11,10,1,1,4,3.0,3,,No,,10,1,,3,, manager ,4,117.0,99.0,5355.0,17068.0,14,0,1000000000,
119,nan40,31,Female,Married,,1992,,2,,1,"10,0",10,,8,9,1,3,1,3.0,2,4.0,No,No,7,0,,2,, manufacturing director ,3,798.0,48.0,14034.0,8943.0,24,1,1000000000,
120,444,39,Male,Married,,1984,Y,2,,1,,21,,13,3,1,4,1,3.0,2,3.0,No,,7,1,,2, Research & Development , manager ,5,672.0,54.0,21141.0,19272.0,15,1,1000000000,
121,452,45,Male,,,1978,Y,4,,9,"12,0",10,,9,8,1,4,1,3.0,3,3.0,No,No,8,1,travel_rarely,3,, research scientist ,2,549.0,75.0,9278.0,,14,2,1000000000,80.0
122,456,30,Female,,,1993,,3,Marketing,1,"10,0",10,,1,2,1,3,3,3.0,2,3.0,No,,5,1,travel_rarely,2, Sales , sales executive ,2,570.0,30.0,5431.0,,13,3,1000000000,
123,nan41,31,Female,,,1992,Y,4,Medical,1,"11,0",11,,4,10,1,4,3,2.0,3,3.0,No,,7,0,,2,, manufacturing director ,3,1232.0,39.0,25713.0,,14,0,1000000000,
124,481,36,Male,Married,,1987,Y,4,Medical,4,"16,0",13,,1,12,1,4,1,3.0,2,3.0,No,No,3,1,,2,, sales executive ,3,541.0,48.0,7246.0,,11,1,1000000000,
125,513,36,Male,Married,,1987,,2,,1,"10,0",10,,9,0,1,3,2,3.0,2,3.0,No,,2,1,travel_rarely,2,, sales executive ,3,164.0,61.0,3809.0,,13,2,1000000000,
126,597,55,Female,Single,,1968,Y,5,,3,"37,0",10,,7,7,1,2,4,3.0,3,4.0,No,No,18,1,travel_rarely,2,, manager ,4,1117.0,83.0,9873.0,,23,0,1000000000,
127,600,35,Male,,,1988,Y,3,,9,"15,0",11,,6,9,1,3,3,3.0,3,3.0,No,,1,1,,2,, sales executive ,2,619.0,85.0,18659.0,,11,0,1000000000,
128,nan42,42,Male,Married,,1981,,3,Medical,1,"10,0",10,,5,8,1,1,4,2.0,3,4.0,No,,24,0,travel_rarely,5,, manufacturing director ,3,319.0,56.0,6950.0,,21,1,1000000000,80.0
129,630,52,Male,Divorced,,1971,Y,2,,3,"18,0",10,,6,9,1,1,2,3.0,3,,No,Yes,6,1,travel_rarely,3,, research scientist ,2,956.0,78.0,22087.0,5577.0,12,2,1000000000,
130,638,49,Male,,,1974,,4,Life Sciences,1,,31,,0,9,1,3,3,3.0,2,3.0,No,Yes,18,1,,5,, research director ,5,1245.0,58.0,2125.0,,17,1,1000000000,
