,EmployeeID,Age,Gender,MaritalStatus,DateBirth,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,OverTime,DistanceFromHome,RemoteWork,BusinessTravel,TrainingTimesLastYear,JobRole,JobLevel,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,Salary
26,nan13,52,Female,Married,1971,1,Unknown,1,33.0,32,6,9,1,4,4,3.0,1,3.0,Yes,0.0,2,1,Unknown,3, manager ,5,266.0,57.0,25846.0,15,1,1000000000
27,1294,36,Female,Single,1987,4,Life Sciences,9,18.0,16,5,12,3,2,4,3.0,3,3.0,No,1.0,2,0,Unknown,2, manufacturing director ,2,429.0,53.0,2323.0,11,0,1000000000
28,nan14,33,Male,Married,1990,4,Life Sciences,1,15.0,15,5,7,2,3,2,3.0,3,3.0,No,0.2632028196330453,28,1,travel_rarely,3, laboratory technician ,2,589.0,79.0,22949.0,12,1,1000000000
29,1774,34,Male,Unknown,1989,3,Life Sciences,1,15.0,15,0,7,4,3,3,3.0,3,3.0,No,1.0,10,1,non-travel,3, sales executive ,2,803.6617500862847,87.0,12313.0,14,1,1000000000
30,1815,41,Female,Divorced,1982,1,Unknown,0,11.256051881525218,22,13,5,4,3,4,4.0,3,3.0,No,0.26857029306706914,37,1,Unknown,3, sales executive ,3,803.638827540827,81.0,26458.0,13,1,1000000000
31,1993,47,Male,Unknown,1976,3,Medical,2,25.0,17,12,11,1,3,2,3.0,3,4.0,No,0.27119331408212455,25,1,Unknown,3, healthcare representative ,3,1180.0,84.0,13084.0,23,0,1000000000
32,32,53,Female,Unknown,1970,3,Unknown,4,26.0,14,4,8,3,3,4,2.0,3,3.0,No,0.28484680930246614,5,1,travel_rarely,3, manager ,5,1282.0,58.0,10735.0,11,1,1000000000
33,100,35,Male,Single,1988,4,Marketing,0,16.0,15,2,8,3,1,2,3.0,2,3.1493489765150313,No,0.0,1,0,Unknown,2, sales executive ,2,776.0,32.0,23016.0,14,0,1000000000
34,nan15,34,Female,Single,1989,4,Other,1,16.0,16,2,10,1,3,3,3.0,3,3.0,No,0.2816043428112986,6,1,travel_rarely,3, research scientist ,2,665.0,41.0,12482.0,14,0,1000000000
35,244,46,Female,Divorced,1977,2,Unknown,1,24.0,24,15,7,2,1,3,3.0,3,4.0,No,0.0,1,1,travel_rarely,2, sales executive ,3,526.0,92.0,2137.0,25,3,1000000000
36,327,43,Female,Married,1980,3,Unknown,5,22.0,17,1,9,4,4,3,3.0,3,4.0,No,0.27064356386171057,16,1,Unknown,3, manager ,4,1034.0,80.0,7744.0,22,1,1000000000
37,373,36,Male,Married,1987,3,Life Sciences,0,16.0,15,10,11,4,4,3,3.0,3,3.0,No,0.29604079774584735,6,1,Unknown,4, laboratory technician ,1,1403.0,47.0,20251.0,11,1,1000000000
38,nan16,60,Female,Married,1963,3,Unknown,4,22.0,18,13,11,3,1,4,4.0,2,3.0,No,0.0,28,1,travel_frequently,5, sales executive ,3,1499.0,80.0,2845.0,19,0,1000000000
39,729,40,Male,Married,1983,4,Unknown,5,20.0,18,1,12,4,1,3,3.0,2,4.0,No,1.0,5,0,travel_frequently,2, sales executive ,3,580.0,48.0,23772.0,21,1,1000000000
40,830,32,Female,Married,1991,3,Unknown,1,14.0,14,6,8,3,3,3,3.0,2,3.0,No,0.0,4,0,travel_rarely,3, manufacturing director ,2,859.0,98.0,19124.0,12,1,1000000000
41,nan17,41,Male,Single,1982,3,Unknown,2,20.0,18,2,17,3,1,3,3.0,3,3.1549601036768804,No,1.0,35,1,travel_rarely,3, laboratory technician ,1,263.0,59.0,3119.0,13,0,1000000000
42,981,53,Male,Divorced,1970,2,Medical,6,22.0,17,15,2,3,3,3,4.0,3,3.0,No,0.0,2,0,Unknown,3, manager ,4,1376.0,66.39170992830489,13938.0,13,1,1000000000
43,1042,36,Female,Single,1987,4,Unknown,1,18.0,17,15,14,3,1,3,3.0,4,3.0,Yes,0.28511428178022685,16,1,travel_rarely,1, laboratory technician ,1,885.0,43.0,8269.0,16,0,1000000000
44,1080,46,Female,Divorced,1977,4,Life Sciences,8,11.440430028355438,16,1,7,4,1,1,3.0,2,4.0,No,1.0,8,0,Unknown,2, research scientist ,2,1003.0,74.0,21029.0,23,3,1000000000
45,1995,38,Male,Married,1985,4,Unknown,0,16.0,15,5,8,4,2,1,2.7059514247280267,3,3.0,No,0.0,1,1,travel_rarely,3, sales executive ,2,1321.0,86.0,7636.0,15,2,1000000000
46,145,51,Female,Single,1972,4,Unknown,3,23.0,13,12,8,1,1,3,2.0,2,4.0,No,0.2873267654778149,1,1,Unknown,1, healthcare representative ,3,803.5298907300257,30.0,25796.0,20,0,1000000000
47,158,43,Male,Married,1980,2,Unknown,1,25.0,25,4,12,3,4,4,4.0,3,3.0,No,1.0,26,1,Unknown,3, manager ,4,394.0,92.0,19494.0,12,2,1000000000
48,391,37,Female,Single,1986,3,Life Sciences,1,11.781107814734854,17,5,7,4,4,2,3.0,3,3.0,No,0.0,1,1,Unknown,3, research scientist ,1,1372.0,42.0,15881.0,12,0,1000000000
49,436,32,Female,Married,1991,2,Technical Degree,1,11.255516044473545,13,11,9,3,2,4,3.0,2,3.0,No,1.0,8,1,travel_rarely,2, sales executive ,2,803.5977352601392,65.0,24624.0,11,0,1000000000
50,nan18,38,Female,Married,1985,3,Unknown,1,15.0,15,5,11,4,1,2,3.0,3,3.0,No,0.2800137369812205,1,0,Unknown,3, research director ,3,1333.0,80.0,16292.0,13,1,1000000000
51,1527,46,Female,Unknown,1977,3,Life Sciences,8,23.0,13,5,1,3,2,4,4.0,3,3.0,No,0.0,3,1,Unknown,2, manager ,4,228.0,51.0,11380.0,12,1,1000000000
52,nan19,35,Male,Married,1988,3,Medical,9,15.0,13,6,0,4,1,3,2.7719602612874334,2,3.0,Yes,0.277371141079022,10,0,travel_rarely,3, sales executive ,3,737.0,55.0,21530.0,17,0,1000000000
53,1866,43,Female,Married,1980,3,Medical,7,21.0,16,6,14,1,3,4,3.0,2,3.0,No,0.0,6,1,Unknown,2, manager ,5,823.0,81.0,22539.0,13,0,1000000000
54,2026,56,Male,Divorced,1967,4,Life Sciences,1,11.12879329053556,13,1,9,3,3,1,2.0,3,3.1523062946096054,No,0.0,1,1,non-travel,2, healthcare representative ,2,667.0,57.0,26236.0,21,1,1000000000
55,nan20,36,Male,Divorced,1987,4,Marketing,1,10.790866055918269,15,11,11,4,4,1,2.0,1,4.0,No,0.0,15,1,non-travel,4, sales executive ,2,301.0,88.0,10436.0,24,1,1000000000
56,107,38,Female,Unknown,1985,3,Medical,7,17.0,13,1,9,2,4,4,3.0,1,3.0,No,0.2621325689784726,6,1,Unknown,3, research scientist ,2,573.0,79.0,15717.0,12,3,1000000000
57,170,49,Female,Unknown,1974,4,Medical,1,16.0,15,5,11,3,1,3,2.0,3,3.0,No,0.0,26,0,Unknown,2, manufacturing director ,2,803.6871334313861,96.0,5549.0,14,0,1000000000
58,nan21,39,Female,Married,1984,4,Life Sciences,4,17.0,15,5,9,4,3,3,4.0,2,3.0,No,0.29394878651885026,4,1,travel_rarely,1, sales executive ,2,1329.0,47.0,14590.0,14,1,1000000000
59,215,40,Male,Married,1983,4,Unknown,7,15.0,12,2,11,3,4,1,2.0,2,3.153192538539949,No,0.0,4,1,Unknown,2, sales executive ,3,630.0,67.0,8552.0,11,1,1000000000
60,304,36,Male,Single,1987,2,Unknown,8,16.0,13,3,7,4,2,4,4.0,3,3.0,No,0.0,5,1,Unknown,3, laboratory technician ,2,803.5987574386589,62.0,9945.0,16,0,1000000000
61,529,37,Female,Married,1986,5,Unknown,3,15.0,13,10,7,2,3,1,3.0,3,3.0,No,1.0,25,0,Unknown,2, research scientist ,2,1063.0,72.0,23866.0,15,2,1000000000
62,691,35,Male,Unknown,1988,4,Unknown,1,11.453645234046254,17,11,8,2,4,2,3.0,1,3.0,No,0.2730292715851372,6,1,Unknown,3, research scientist ,2,1017.0,82.0,19368.0,13,0,1000000000
63,692,33,Male,Divorced,1990,3,Life Sciences,3,15.0,13,4,7,3,4,3,1.0,3,4.0,No,0.0,6,0,travel_frequently,2, healthcare representative ,2,1296.0,66.33892503368534,5335.0,23,1,1000000000
64,1005,50,Male,Married,1973,3,Unknown,3,22.0,12,1,5,4,3,4,3.0,3,3.0,No,1.0,24,0,travel_rarely,2, manufacturing director ,4,939.0,66.10355342623888,4161.0,18,1,1000000000
65,1024,48,Male,Single,1975,4,Unknown,7,27.0,15,4,8,3,3,2,3.0,2,3.1484249763595713,No,0.2772253366787401,4,1,travel_rarely,3, healthcare representative ,3,1355.0,78.0,22245.0,14,0,1000000000
66,1039,44,Female,Married,1979,3,Unknown,3,11.85182051604019,12,11,11,4,4,3,3.0,4,3.0,No,0.29585230442651905,28,1,travel_rarely,2, sales executive ,4,1448.0,53.0,11737.0,18,1,1000000000
67,1225,44,Male,Single,1979,4,Unknown,1,10.695597870837748,20,13,17,4,4,2,3.0,3,4.0,No,0.27670818752380966,29,1,travel_rarely,3, research scientist ,2,200.0,32.0,7744.0,25,0,1000000000
68,1375,40,Female,Unknown,1983,1,Unknown,5,15.0,12,11,8,2,3,2,3.0,4,4.0,No,0.0,25,1,Unknown,0, healthcare representative ,2,1202.0,89.0,13888.0,20,3,1000000000
69,nan22,34,Female,Single,1989,4,Unknown,1,14.0,14,4,11,3,4,4,4.0,3,3.0,No,0.2507410576263877,2,1,travel_rarely,2, healthcare representative ,2,404.0,98.0,6163.0,11,0,1000000000
70,nan23,35,Female,Unknown,1988,4,Unknown,1,10.70362840929641,14,2,9,3,3,4,3.0,3,3.0,No,0.2679374279267789,8,1,non-travel,5, healthcare representative ,2,208.0,52.0,12250.0,12,1,1000000000
71,nan24,50,Female,Unknown,1973,5,Life Sciences,5,11.263758617450215,14,1,11,4,1,3,3.0,2,3.0,No,0.0,17,0,Unknown,3, research director ,3,813.0,50.0,21981.0,15,3,1000000000
72,1661,49,Female,Unknown,1974,1,Life Sciences,2,10.941251417385192,15,2,12,3,3,2,3.0,2,3.0,No,0.27873341683788266,6,1,Unknown,3, healthcare representative ,4,465.0,41.0,11652.0,19,1,1000000000
73,1668,38,Male,Unknown,1985,3,Life Sciences,7,19.0,13,2,9,4,4,4,2.715474883343416,3,3.0,No,0.0,1,1,travel_frequently,4, research scientist ,2,1189.0,90.0,9867.0,15,2,1000000000
74,1698,33,Male,Unknown,1990,3,Unknown,1,14.0,14,2,13,2,2,4,2.755386600843633,4,3.0,No,0.0,21,1,Unknown,6, laboratory technician ,1,803.6391831236268,79.0,13637.0,18,3,1000000000
75,nan25,47,Female,Divorced,1976,3,Life Sciences,8,11.439138893027117,22,14,10,3,2,3,3.0,2,3.152789000608389,No,1.0,4,1,travel_rarely,4, manufacturing director ,3,1001.0,92.0,19271.0,12,1,1000000000
76,1937,38,Female,Divorced,1985,3,Unknown,1,20.0,20,0,7,4,2,3,3.0,2,3.0,No,0.28951618164400583,8,0,Unknown,3, research scientist ,2,1394.0,58.0,18115.0,16,1,1000000000
77,2017,37,Female,Unknown,1986,3,Life Sciences,1,16.0,16,6,8,3,4,1,3.0,4,4.0,No,1.0,10,1,travel_rarely,2, research director ,3,161.0,42.0,15471.0,25,1,1000000000
78,117,30,Male,Married,1993,3,Unknown,1,11.0,11,10,8,3,4,1,3.0,2,3.158382747362293,No,0.0,2,1,Unknown,3, healthcare representative ,2,288.0,99.0,15830.0,19,3,1000000000
79,131,58,Male,Single,1965,4,Unknown,0,38.0,37,1,8,4,3,3,2.0,3,3.0,No,0.276122617342491,18,1,travel_rarely,1, sales executive ,4,682.0,37.0,24409.0,13,0,1000000000
80,153,34,Female,Single,1989,3,Unknown,2,14.0,11,5,8,3,1,4,3.0,2,3.0,No,0.2964974093419808,5,0,travel_rarely,6, manager ,3,1354.0,45.0,5615.0,12,0,1000000000
81,nan26,58,Female,Married,1965,4,Medical,1,40.0,40,15,6,4,4,4,2.0,3,3.0,Yes,0.2375312864906074,23,1,travel_rarely,3, healthcare representative ,3,147.0,94.0,3465.0,12,1,1000000000
82,307,38,Male,Divorced,1985,3,Life Sciences,0,10.621970956125848,16,5,13,1,3,3,2.0,3,3.0,No,0.2551980773606997,3,1,Unknown,6, sales executive ,3,119.0,76.0,9647.0,12,2,1000000000
83,nan27,29,Female,Married,1994,1,Unknown,1,11.0,11,4,1,2,4,4,3.0,3,3.0,No,0.30025582351905045,1,1,travel_frequently,5, sales executive ,3,1413.0,42.0,6599.0,14,1,1000000000
84,374,55,Male,Single,1968,3,Medical,0,37.0,36,4,13,4,1,3,3.0,3,3.0,No,0.25144060023567827,1,1,travel_rarely,2, manager ,5,452.0,81.0,18938.0,14,0,1000000000
85,nan28,41,Male,Unknown,1982,4,Unknown,1,10.821417647943333,22,0,4,4,2,2,3.0,3,3.0,No,0.2547249220489175,10,1,Unknown,2, manager ,4,334.0,88.0,15896.0,19,0,1000000000
86,nan29,39,Male,Unknown,1984,3,Unknown,0,19.0,18,3,7,3,4,1,2.0,4,3.1479412762285337,No,0.0,1,0,travel_rarely,5, healthcare representative ,3,1132.0,48.0,10942.0,17,3,1000000000
87,nan30,38,Male,Unknown,1985,2,Life Sciences,0,11.256424406112062,11,2,9,3,4,2,3.0,2,3.0,No,0.2636791371830174,15,1,Unknown,3, research director ,3,803.6675053833945,92.0,15682.0,14,1,1000000000
88,nan31,43,Male,Unknown,1980,3,Unknown,1,11.420523006450717,25,3,9,1,2,3,2.748896154165658,2,3.0,No,0.0,12,1,Unknown,3, research director ,4,982.0,59.0,4345.0,11,1,1000000000
89,524,31,Female,Married,1992,2,Unknown,1,13.0,13,3,12,2,1,2,1.0,3,3.0,No,0.0,30,1,Unknown,5, manufacturing director ,2,480.0,31.0,4156.0,12,1,1000000000
90,569,50,Male,Married,1973,4,Life Sciences,0,28.0,27,15,7,3,3,2,3.0,2,3.0,No,0.0,27,1,travel_rarely,2, manager ,4,1099.0,88.0,9314.0,15,1,1000000000
91,899,35,Male,Married,1988,3,Technical Degree,3,11.13407368542186,13,4,8,4,2,1,3.0,2,3.153979578644392,No,0.0,25,0,Unknown,2, manufacturing director ,3,672.0,78.0,9129.0,16,0,1000000000
92,nan32,47,Male,Unknown,1976,4,Unknown,1,20.0,19,2,7,3,3,3,2.710121338057965,4,3.0,No,1.0,16,1,Unknown,3, manufacturing director ,2,1379.0,64.0,6759.0,19,0,1000000000
93,1014,35,Female,Divorced,1988,4,Unknown,1,11.05101077374449,16,10,1,3,3,3,2.0,3,3.152915378966822,No,1.0,25,1,Unknown,3, healthcare representative ,3,583.0,57.0,6975.0,11,1,1000000000
94,nan33,40,Male,Married,1983,4,Unknown,4,14.0,11,11,1,1,4,4,3.0,3,4.0,No,0.29255795388424327,20,1,travel_rarely,6, healthcare representative ,3,1492.0,61.0,26542.0,20,1,1000000000
95,1117,45,Female,Married,1978,4,Life Sciences,1,15.0,15,4,12,2,3,4,3.0,2,3.0,No,0.2801550673795058,9,0,Unknown,2, sales executive ,2,1050.0,65.0,17970.0,13,1,1000000000
96,1238,33,Male,Married,1990,3,Medical,0,15.0,14,4,10,1,4,2,3.0,3,3.0,No,0.2607482959884952,9,0,Unknown,5, research scientist ,1,117.0,60.0,6311.0,13,1,1000000000
97,nan34,36,Male,Married,1987,3,Unknown,1,12.0,11,0,7,3,2,3,2.0,3,3.0,No,0.0,3,0,travel_frequently,2, research scientist ,1,469.0,46.0,9256.0,12,0,1000000000
98,1277,45,Female,Unknown,1978,3,Marketing,2,26.0,24,1,11,1,2,1,3.0,1,3.0,Yes,1.0,13,1,Unknown,2, manager ,5,803.7008643130508,94.0,2493.0,16,0,1000000000
99,nan35,51,Male,Unknown,1972,3,Unknown,4,10.731446633990426,29,11,10,3,2,1,2.0,3,3.157437350716275,No,1.0,27,0,travel_frequently,5, manager ,5,237.0,83.0,19196.0,24,1,1000000000
100,1541,34,Male,Unknown,1989,2,Technical Degree,0,12.0,11,5,7,2,3,2,3.0,3,4.0,No,1.0,7,0,travel_rarely,4, sales representative ,1,1440.0,55.0,4944.0,25,1,1000000000
101,1666,43,Male,Unknown,1980,2,Unknown,1,11.706823224252439,14,6,11,3,3,1,3.0,2,4.0,No,0.0,15,1,travel_rarely,3, research director ,4,1291.0,65.0,3525.0,24,1,1000000000
102,1696,34,Male,Unknown,1989,2,Medical,1,11.582499608150988,15,4,13,2,4,3,2.7342336304955697,2,3.0,No,0.0,5,0,Unknown,3, laboratory technician ,2,1157.0,57.0,11912.0,14,1,1000000000
103,1805,38,Male,Divorced,1985,3,Unknown,5,13.0,11,3,8,1,2,4,3.0,3,3.0,No,0.0,2,1,Unknown,3, human resources ,1,1336.0,100.0,7129.0,13,3,1000000000
104,nan36,48,Male,Unknown,1975,3,Unknown,4,29.0,22,12,9,4,2,4,3.0,2,3.0,No,0.0,10,0,Unknown,3, research director ,5,1224.0,91.0,13583.0,12,0,1000000000
105,1932,34,Male,Married,1989,4,Other,1,16.0,15,6,11,3,4,2,3.0,2,3.0,No,1.0,22,0,Unknown,3, research scientist ,2,735.0,86.0,26496.0,15,0,1000000000
106,2016,32,Female,Unknown,1991,4,Unknown,1,14.0,14,5,7,3,4,3,3.0,3,3.0,No,0.0,31,1,travel_rarely,3, sales executive ,3,803.5589879954388,48.0,24032.0,19,2,1000000000
107,20,29,Female,Divorced,1994,4,Life Sciences,1,10.0,10,8,8,2,1,3,3.0,4,3.0,No,0.0,21,0,travel_rarely,1, manufacturing director ,3,1389.0,51.0,10195.0,11,1,1000000000
108,nan37,46,Male,Married,1977,3,Medical,2,21.0,10,9,5,3,1,3,2.0,2,3.0,No,1.0,1,0,Unknown,5, healthcare representative ,3,638.0,40.0,3142.0,13,1,1000000000
109,184,30,Male,Married,1993,3,Unknown,0,11.659073956817238,11,4,7,3,4,4,1.0,3,3.0,No,1.0,9,0,Unknown,2, human resources ,2,1240.0,48.0,13982.0,19,0,1000000000
110,206,45,Male,Unknown,1978,3,Life Sciences,8,20.0,17,0,15,2,2,3,2.8173082746402494,3,3.0,No,0.0,9,1,Unknown,2, laboratory technician ,2,194.0,60.0,10901.0,18,1,1000000000
111,228,30,Female,Unknown,1993,3,Unknown,2,11.750520771817822,10,7,4,2,4,3,3.0,3,3.0,No,0.0,5,1,travel_rarely,2, sales executive ,3,1339.0,41.0,8053.0,12,1,1000000000
112,239,30,Male,Unknown,1993,3,Unknown,1,12.0,12,6,10,3,1,3,3.0,3,3.156950352799092,No,0.0,9,1,Unknown,4, laboratory technician ,2,111.0,66.0,11012.0,11,2,1000000000
113,256,34,Male,Married,1989,1,Unknown,1,10.0,10,1,9,4,3,3,2.0,2,3.0,No,0.2851530764316986,29,0,travel_frequently,2, manufacturing director ,2,803.5438418890664,45.0,14074.0,17,0,1000000000
114,nan38,51,Male,Married,1972,4,Life Sciences,5,16.0,10,4,7,2,2,4,1.0,2,3.0,No,0.0,8,0,travel_rarely,5, research director ,3,1469.0,81.0,15736.0,16,2,1000000000
115,339,34,Male,Unknown,1989,4,Life Sciences,6,13.0,11,5,9,4,1,2,3.0,2,3.0,No,0.2589062977985942,39,1,Unknown,3, manufacturing director ,2,470.0,84.0,23687.0,13,1,1000000000
116,406,35,Male,Married,1988,3,Unknown,0,12.0,11,6,9,3,2,3,2.0,3,3.0,No,0.27159261161241616,16,1,travel_rarely,3, sales executive ,3,1232.0,96.0,5100.0,15,2,1000000000
117,nan39,45,Male,Unknown,1978,3,Life Sciences,1,24.0,24,9,11,1,1,1,3.0,3,3.0,No,0.26731928492724627,7,1,travel_frequently,2, laboratory technician ,3,1249.0,97.0,20308.0,18,1,1000000000
118,429,39,Male,Married,1984,1,Unknown,1,21.0,21,11,10,3,1,4,3.0,3,3.1591295714936014,No,0.2412177073902906,10,1,Unknown,3, manager ,4,117.0,99.0,5355.0,14,0,1000000000
119,nan40,31,Female,Married,1992,2,Unknown,1,10.0,10,8,9,3,3,1,3.0,2,4.0,No,0.0,7,0,Unknown,2, manufacturing director ,3,798.0,48.0,14034.0,24,1,1000000000
120,444,39,Male,Married,1984,2,Unknown,1,11.133325125953212,21,13,3,3,4,1,3.0,2,3.0,No,0.277656148696064,7,1,Unknown,2, manager ,5,672.0,54.0,21141.0,15,1,1000000000
121,452,45,Male,Unknown,1978,4,Unknown,9,12.0,10,9,8,4,4,1,3.0,3,3.0,No,0.0,8,1,travel_rarely,3, research scientist ,2,549.0,75.0,9278.0,14,2,1000000000
122,456,30,Female,Unknown,1993,3,Marketing,1,10.0,10,1,2,4,3,3,3.0,2,3.0,No,0.2864156653115292,5,1,travel_rarely,2, sales executive ,2,570.0,30.0,5431.0,13,3,1000000000
123,nan41,31,Female,Unknown,1992,4,Medical,1,11.0,11,4,10,3,4,3,2.0,3,3.0,No,0.2974244186119402,7,0,Unknown,2, manufacturing director ,3,1232.0,39.0,25713.0,14,0,1000000000
124,481,36,Male,Married,1987,4,Medical,4,16.0,13,1,12,1,4,1,3.0,2,3.0,No,0.0,3,1,Unknown,2, sales executive ,3,541.0,48.0,7246.0,11,1,1000000000
125,513,36,Male,Married,1987,2,Unknown,1,10.0,10,9,0,2,3,2,3.0,2,3.0,No,0.2631392389997076,2,1,travel_rarely,2, sales executive ,3,164.0,61.0,3809.0,13,2,1000000000
126,597,55,Female,Single,1968,5,Unknown,3,37.0,10,7,7,1,2,4,3.0,3,4.0,No,0.0,18,1,travel_rarely,2, manager ,4,1117.0,83.0,9873.0,23,0,1000000000
127,600,35,Male,Unknown,1988,3,Unknown,9,15.0,11,6,9,2,3,3,3.0,3,3.0,No,0.26121636345611055,1,1,Unknown,2, sales executive ,2,619.0,85.0,18659.0,11,0,1000000000
